date,keyword,value,country
2020-07-06,earthquake,0,CL
2020-07-07,earthquake,0,CL
2020-07-08,earthquake,0,CL
2020-07-09,earthquake,0,CL
2020-07-10,earthquake,0,CL
2020-07-11,earthquake,0,CL
2020-07-12,earthquake,0,CL
2020-07-13,earthquake,0,CL
2020-07-14,earthquake,0,CL
2020-07-15,earthquake,0,CL
2020-07-16,earthquake,0,CL
2020-07-17,earthquake,34,CL
2020-07-18,earthquake,0,CL
2020-07-19,earthquake,0,CL
2020-07-20,earthquake,0,CL
2020-07-21,earthquake,0,CL
2020-07-22,earthquake,0,CL
2020-07-23,earthquake,0,CL
2020-07-24,earthquake,0,CL
2020-07-25,earthquake,0,CL
2020-07-26,earthquake,0,CL
2020-07-27,earthquake,0,CL
2020-07-28,earthquake,0,CL
2020-07-29,earthquake,0,CL
2020-07-30,earthquake,0,CL
2020-07-31,earthquake,0,CL
2020-08-01,earthquake,0,CL
2020-08-02,earthquake,0,CL
2020-08-03,earthquake,0,CL
2020-08-04,earthquake,0,CL
2020-08-05,earthquake,0,CL
2020-08-06,earthquake,0,CL
2020-08-07,earthquake,0,CL
2020-08-08,earthquake,0,CL
2020-08-09,earthquake,0,CL
2020-08-10,earthquake,0,CL
2020-08-11,earthquake,0,CL
2020-08-12,earthquake,0,CL
2020-08-13,earthquake,0,CL
2020-08-14,earthquake,0,CL
2020-08-15,earthquake,22,CL
2020-08-16,earthquake,21,CL
2020-08-17,earthquake,0,CL
2020-08-18,earthquake,0,CL
2020-08-19,earthquake,0,CL
2020-08-20,earthquake,0,CL
2020-08-21,earthquake,0,CL
2020-08-22,earthquake,0,CL
2020-08-23,earthquake,0,CL
2020-08-24,earthquake,0,CL
2020-08-25,earthquake,0,CL
2020-08-26,earthquake,0,CL
2020-08-27,earthquake,0,CL
2020-08-28,earthquake,0,CL
2020-08-29,earthquake,0,CL
2020-08-30,earthquake,0,CL
2020-08-31,earthquake,0,CL
2020-09-01,earthquake,100,CL
2020-09-02,earthquake,20,CL
2020-09-03,earthquake,0,CL
2020-09-04,earthquake,0,CL
2020-09-05,earthquake,0,CL
2020-09-06,earthquake,55,CL
2020-09-07,earthquake,0,CL
2020-09-08,earthquake,0,CL
2020-09-09,earthquake,0,CL
2020-09-10,earthquake,0,CL
2020-09-11,earthquake,32,CL
2020-09-12,earthquake,0,CL
2020-09-13,earthquake,0,CL
2020-09-14,earthquake,0,CL
2020-09-15,earthquake,0,CL
2020-09-16,earthquake,0,CL
2020-09-17,earthquake,0,CL
2020-09-18,earthquake,0,CL
2020-09-19,earthquake,0,CL
2020-09-20,earthquake,0,CL
2020-09-21,earthquake,0,CL
2020-09-22,earthquake,0,CL
2020-09-23,earthquake,0,CL
2020-09-24,earthquake,0,CL
