event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities
CHI8996,2022-06-08,1,Riots,Violent demonstration,Rioters (Chile),Students (Chile),Police Forces of Chile (2022-),Civilians (Chile); Teachers (Chile),Chile,Metropolitana,Santiago,Santiago - Quinta Normal,-33.4419,-70.679,1,National,0
CHI8987,2022-06-08,1,Protests,Peaceful protest,Protesters (Chile),Labor Group (Chile),,,Chile,Valparaiso,Valparaiso,Ventanas,-32.7439,-71.4868,2,Subnational,0
CHI8994,2022-06-07,1,Protests,Protest with intervention,Protesters (Chile),Labor Group (Chile),Police Forces of Chile (2022-),,Chile,Los Rios,Valdivia,Neltume,-39.8502,-71.9422,1,Subnational,0
CHI8970,2022-06-04,1,Strategic developments,Looting/property destruction,Indigenous Militia (Chile),,Civilians (Chile),Farmers (Chile),Chile,Araucania,Cautin,General Lopez,-38.6907,-72.3628,2,Subnational,0
CHI8966,2022-06-01,1,Riots,Violent demonstration,Rioters (Chile),Students (Chile),Police Forces of Chile (2022-),Civilians (Chile); Labor Group (Chile),Chile,Metropolitana,Santiago,Santiago,-33.4569,-70.6483,1,National,0
CHI8965,2022-05-31,1,Riots,Violent demonstration,Rioters (Chile),Students (Chile),Police Forces of Chile (2022-),Civilians (Chile); Labor Group (Chile),Chile,Metropolitana,Santiago,Santiago,-33.4569,-70.6483,1,National,0
CHI8950,2022-05-31,1,Protests,Peaceful protest,Protesters (Chile),Labor Group (Chile),,,Chile,Biobio,Concepcion,Lota,-37.0899,-73.1577,1,Subnational,0
CHI8962,2022-05-30,1,Riots,Violent demonstration,Rioters (Chile),Students (Chile),Police Forces of Chile (2022-),Civilians (Chile); Labor Group (Chile); Military Forces of Chile (2022-),Chile,Metropolitana,Santiago,Santiago - Quinta Normal,-33.4419,-70.679,1,National,0
CHI8963,2022-05-30,1,Riots,Violent demonstration,Rioters (Chile),Students (Chile),Police Forces of Chile (2022-),Civilians (Chile); Labor Group (Chile),Chile,Metropolitana,Santiago,Santiago,-33.4569,-70.6483,1,National,0
CHI8961,2022-05-30,1,Riots,Violent demonstration,Rioters (Chile),Students (Chile),Civilians (Chile),Teachers (Chile),Chile,Metropolitana,Santiago,Santiago - Providencia,-33.4311,-70.6045,1,National,0
CHI8937,2022-05-29,1,Riots,Mob violence,Rioters (Chile),,Police Forces of Chile (2022-),,Chile,O'Higgins,Colchagua,Santa Cruz,-34.6326,-71.3591,1,National,0
CHI8913,2022-05-27,1,Riots,Mob violence,Rioters (Chile),Vigilante Group (Chile),Civilians (Chile),Labor Group (Chile),Chile,Metropolitana,Santiago,Santiago - Providencia,-33.4311,-70.6045,1,National,0
CHI8927,2022-05-27,1,Protests,Peaceful protest,Protesters (Chile),Labor Group (Chile); Students (Chile),,,Chile,Biobio,Concepcion,Concepcion,-36.827,-73.0498,1,Subnational,0
CHI8932,2022-05-27,1,Riots,Violent demonstration,Rioters (Chile),Students (Chile),Police Forces of Chile (2022-),,Chile,Valparaiso,Valparaiso,Valparaiso,-33.036,-71.6296,1,National,0
CHI8931,2022-05-27,1,Riots,Violent demonstration,Rioters (Chile),Students (Chile),Police Forces of Chile (2022-),Labor Group (Chile); Rioters (Chile),Chile,Metropolitana,Santiago,Santiago - Nunoa,-33.455,-70.5934,2,National,0
CHI8924,2022-05-26,1,Protests,Peaceful protest,Protesters (Chile),Students (Chile),,,Chile,Biobio,Biobio,Los Angeles,-37.4697,-72.3537,1,Subnational,0
CHI8925,2022-05-26,1,Protests,Peaceful protest,Protesters (Chile),Labor Group (Chile),,,Chile,Biobio,Concepcion,Lota,-37.0899,-73.1577,1,Subnational,0
CHI8912,2022-05-26,1,Riots,Mob violence,Rioters (Chile),,Police Forces of Chile (2022-),,Chile,Metropolitana,Santiago,Santiago - Estacion Central,-33.4546,-70.6823,1,National,0
CHI8908,2022-05-26,1,Explosions/Remote violence,Grenade,Unidentified Armed Group (Chile),,,,Chile,Metropolitana,Santiago,Santiago - Quinta Normal,-33.4419,-70.679,1,Subnational,0
CHI8910,2022-05-24,1,Strategic developments,Looting/property destruction,Indigenous Militia (Chile),,Civilians (Chile),,Chile,Biobio,Arauco,Arauco,-37.2457,-73.3153,2,Subnational-National,0
CHI8906,2022-05-23,1,Violence against civilians,Attack,Unidentified Armed Group (Chile),Students (Chile),Civilians (Chile),Labor Group (Chile),Chile,Metropolitana,Santiago,Santiago - Quinta Normal,-33.4419,-70.679,1,Subnational-National,0
CHI8899,2022-05-20,1,Protests,Peaceful protest,Protesters (Chile),Students (Chile); Teachers (Chile),,,Chile,Arica y Parinacota,Arica,Arica,-18.4746,-70.2979,1,National,0
CHI8900,2022-05-20,1,Strategic developments,Looting/property destruction,Indigenous Militia (Chile),,Civilians (Chile),Labor Group (Chile),Chile,Biobio,Arauco,Arauco,-37.2457,-73.3153,2,Subnational,0
CHI8903,2022-05-20,1,Riots,Violent demonstration,Rioters (Chile),,Civilians (Chile),Teachers (Chile),Chile,Valparaiso,Valparaiso,Puchuncavi,-32.7258,-71.4151,1,National,0
CHI8896,2022-05-19,1,Strategic developments,Looting/property destruction,RMM: Mapuche Malleco Resistance,,Civilians (Chile),,Chile,Araucania,Malleco,Victoria,-38.2341,-72.3439,2,Subnational-National,0
CHI8885,2022-05-18,1,Strategic developments,Looting/property destruction,Indigenous Militia (Chile),,Civilians (Chile),,Chile,Araucania,Malleco,Angol,-37.7952,-72.7164,2,Subnational,0
CHI8886,2022-05-18,1,Strategic developments,Looting/property destruction,Indigenous Militia (Chile),,Civilians (Chile),Labor Group (Chile),Chile,Araucania,Malleco,Lumaco,-38.1649,-72.9055,2,Subnational,0
CHI8889,2022-05-18,1,Protests,Peaceful protest,Protesters (Chile),Fishers (Chile); Labor Group (Chile),,,Chile,Biobio,Concepcion,Coronel,-37.0343,-73.1383,1,Subnational,0
CHI8882,2022-05-17,1,Protests,Peaceful protest,Protesters (Chile),,,,Chile,Metropolitana,Santiago,Santiago - Estacion Central,-33.4546,-70.6823,1,National,0
CHI8876,2022-05-17,1,Strategic developments,Looting/property destruction,Indigenous Militia (Chile),,Civilians (Chile),Labor Group (Chile),Chile,Araucania,Malleco,Capitan Pastene,-38.1933,-72.9924,2,Subnational,0
CHI8877,2022-05-17,1,Riots,Violent demonstration,Rioters (Chile),,,,Chile,Biobio,Arauco,Arauco,-37.2457,-73.3153,2,Subnational,0
CHI8883,2022-05-17,1,Riots,Violent demonstration,Rioters (Chile),Students (Chile),,,Chile,Metropolitana,Santiago,Santiago,-33.4569,-70.6483,1,Subnational,0
CHI8879,2022-05-17,1,Protests,Peaceful protest,Protesters (Chile),Labor Group (Chile),,,Chile,Biobio,Concepcion,Hualpen,-36.7891,-73.1017,1,Subnational,0
CHI8874,2022-05-16,1,Protests,Peaceful protest,Protesters (Chile),Labor Group (Chile),,,Chile,Biobio,Concepcion,Hualpen,-36.7891,-73.1017,1,Subnational-National,0
CHI8866,2022-05-14,1,Strategic developments,Looting/property destruction,Mapuche Indigenous Militia (Chile),,Civilians (Chile),Labor Group (Chile),Chile,Araucania,Cautin,Vilcun,-38.6688,-72.2257,2,Subnational-National,0
CHI8864,2022-05-13,1,Riots,Violent demonstration,Rioters (Chile),Students (Chile),Police Forces of Chile (2022-),,Chile,Metropolitana,Santiago,Santiago,-33.4569,-70.6483,1,National,0
CHI8863,2022-05-13,1,Riots,Violent demonstration,Rioters (Chile),,Police Forces of Chile (2022-),,Chile,Metropolitana,Santiago,Santiago - Providencia,-33.4311,-70.6045,1,National,0
CHI8862,2022-05-13,1,Protests,Peaceful protest,Protesters (Chile),Students (Chile),,,Chile,Metropolitana,Santiago,Santiago - Nunoa,-33.455,-70.5934,1,National,0
CHI8859,2022-05-13,1,Strategic developments,Looting/property destruction,CAM: Coordination Arauco Malleco,RMM: Mapuche Malleco Resistance,Civilians (Chile),Labor Group (Chile),Chile,Araucania,Cautin,Teodoro Schmidt,-38.9944,-73.0893,2,Subnational-National,0
CHI8855,2022-05-12,1,Protests,Peaceful protest,Protesters (Chile),,,,Chile,Metropolitana,Santiago,Santiago - Penalolen,-33.4684,-70.5341,1,National,0
CHI8854,2022-05-12,1,Protests,Peaceful protest,Protesters (Chile),,,,Chile,Metropolitana,Santiago,Santiago - La Pintana,-33.5833,-70.6342,1,National,0
CHI8851,2022-05-12,1,Violence against civilians,Attack,Unidentified Armed Group (Chile),,Civilians (Chile),Labor Group (Chile),Chile,Biobio,Arauco,Reputo,-37.8499,-73.3288,2,Subnational,0
CHI8857,2022-05-12,1,Protests,Peaceful protest,Protesters (Chile),,,,Chile,Metropolitana,Santiago,Santiago,-33.4569,-70.6483,1,National,0
CHI8843,2022-05-11,1,Violence against civilians,Attack,RMM: Mapuche Malleco Resistance,,Civilians (Chile),Labor Group (Chile),Chile,Araucania,Malleco,Victoria,-38.2341,-72.3439,2,National,0
CHI8845,2022-05-11,1,Strategic developments,Looting/property destruction,CAM: Coordination Arauco Malleco,,Civilians (Chile),Labor Group (Chile),Chile,Biobio,Biobio,Santa Adriana,-37.7602,-72.0126,1,Subnational,0
CHI8846,2022-05-11,1,Protests,Peaceful protest,Protesters (Chile),Students (Chile),,,Chile,Metropolitana,Santiago,Santiago - San Miguel,-33.4917,-70.6571,1,National,0
CHI8848,2022-05-11,1,Riots,Mob violence,Rioters (Chile),,Civilians (Chile),Students (Chile),Chile,Metropolitana,Santiago,Santiago,-33.4569,-70.6483,1,National,0
CHI8841,2022-05-10,1,Riots,Violent demonstration,Rioters (Chile),,Police Forces of Chile (2022-),Civilians (Chile); Labor Group (Chile),Chile,Metropolitana,Santiago,Santiago,-33.4569,-70.6483,1,National,0
CHI8839,2022-05-10,1,Violence against civilians,Attack,Unidentified Armed Group (Chile),,Civilians (Chile),Labor Group (Chile),Chile,Araucania,Malleco,Victoria,-38.2341,-72.3439,2,Subnational,0
CHI8836,2022-05-09,1,Protests,Peaceful protest,Protesters (Chile),Mapuche Indigenous Group (Chile),,,Chile,Los Rios,Ranco,Rio Bueno,-40.3314,-72.9463,2,Subnational-National,0
CHI8837,2022-05-09,1,Riots,Violent demonstration,Rioters (Chile),Students (Chile),Police Forces of Chile (2022-),,Chile,Metropolitana,Santiago,Santiago - Penalolen,-33.4684,-70.5341,1,National,0
CHI8828,2022-05-07,1,Protests,Protest with intervention,Protesters (Chile),Students (Chile),Police Forces of Chile (2022-),,Chile,Metropolitana,Santiago,Santiago - Quinta Normal,-33.4419,-70.679,1,Subnational,0
CHI8824,2022-05-06,1,Riots,Violent demonstration,Rioters (Chile),,Police Forces of Chile (2022-),Civilians (Chile); Labor Group (Chile),Chile,Metropolitana,Santiago,Santiago - Providencia,-33.4311,-70.6045,1,National,0
CHI8783,2022-05-05,1,Protests,Peaceful protest,Protesters (Chile),Labor Group (Chile),,,Chile,Araucania,Cautin,Carahue,-38.709,-73.167,2,Subnational-National,0
CHI8789,2022-05-05,1,Protests,Peaceful protest,Protesters (Chile),Labor Group (Chile),,,Chile,Biobio,Concepcion,Talcahuano,-36.7249,-73.1168,1,Subnational,0
CHI8791,2022-05-05,1,Protests,Peaceful protest,Protesters (Chile),Students (Chile),,,Chile,Metropolitana,Santiago,Santiago,-33.4569,-70.6483,1,National,0
CHI8687,2022-05-05,1,Violence against civilians,Attack,Unidentified Armed Group (Chile),,Civilians (Chile),Labor Group (Chile),Chile,Los Rios,Valdivia,Paillaco,-40.0718,-72.8751,2,Subnational,0
CHI8784,2022-05-05,1,Protests,Peaceful protest,Protesters (Chile),"FETRACALFOR: Federation of Forestry Workers, Drivers and Operators; Labor Group (Chile)",,,Chile,Biobio,Arauco,Horcones,-37.2302,-73.2323,1,Subnational,0
CHI8786,2022-05-05,1,Protests,Peaceful protest,Protesters (Chile),"FETRACALFOR: Federation of Forestry Workers, Drivers and Operators; Labor Group (Chile)",,,Chile,Biobio,Biobio,Los Angeles,-37.4697,-72.3537,2,Subnational,0
CHI8781,2022-05-04,1,Protests,Peaceful protest,Protesters (Chile),Labor Group (Chile),,,Chile,Biobio,Concepcion,Talcahuano,-36.7249,-73.1168,1,Subnational,0
CHI8777,2022-05-04,1,Protests,Peaceful protest,Protesters (Chile),"FETRACALFOR: Federation of Forestry Workers, Drivers and Operators; Labor Group (Chile)",,,Chile,Biobio,Biobio,Los Angeles,-37.4697,-72.3537,2,Subnational,0
CHI8775,2022-05-04,1,Protests,Peaceful protest,Protesters (Chile),"FETRACALFOR: Federation of Forestry Workers, Drivers and Operators; Labor Group (Chile)",,,Chile,Biobio,Arauco,Horcones,-37.2302,-73.2323,1,Subnational,0
CHI8778,2022-05-04,1,Protests,Peaceful protest,Protesters (Chile),"FETRACALFOR: Federation of Forestry Workers, Drivers and Operators; Labor Group (Chile)",,,Chile,Biobio,Concepcion,Concepcion,-36.827,-73.0498,2,Subnational,0
CHI8773,2022-05-04,1,Protests,Peaceful protest,Protesters (Chile),"FETRACALFOR: Federation of Forestry Workers, Drivers and Operators; Labor Group (Chile)",,,Chile,Araucania,Cautin,Freire,-38.9525,-72.6265,2,National,0
CHI8774,2022-05-04,1,Protests,Peaceful protest,Protesters (Chile),"FETRACALFOR: Federation of Forestry Workers, Drivers and Operators; Labor Group (Chile)",,,Chile,Araucania,Cautin,Pillanlelbun,-38.6363,-72.4534,2,National,0
CHI8819,2022-05-04,1,Riots,Violent demonstration,Rioters (Chile),,,,Chile,Los Rios,Valdivia,Los Lagos,-39.8618,-72.8168,1,National,0
CHI8762,2022-05-03,1,Protests,Peaceful protest,Protesters (Chile),"FETRACALFOR: Federation of Forestry Workers, Drivers and Operators; Labor Group (Chile)",,,Chile,Biobio,Arauco,Horcones,-37.2302,-73.2323,1,Subnational-National,0
CHI8763,2022-05-03,1,Protests,Peaceful protest,Protesters (Chile),"FETRACALFOR: Federation of Forestry Workers, Drivers and Operators; Labor Group (Chile)",,,Chile,Biobio,Arauco,Curanilahue,-37.4762,-73.3412,2,Subnational-National,0
CHI8765,2022-05-03,1,Protests,Peaceful protest,Protesters (Chile),"FETRACALFOR: Federation of Forestry Workers, Drivers and Operators; Labor Group (Chile)",,,Chile,Biobio,Biobio,Los Angeles,-37.4697,-72.3537,2,Subnational-National,0
CHI8772,2022-05-03,1,Protests,Peaceful protest,Protesters (Chile),"FETRACALFOR: Federation of Forestry Workers, Drivers and Operators; Labor Group (Chile)",,,Chile,Los Rios,Valdivia,San Jose de la Mariquina,-39.5364,-72.9657,2,Subnational-National,0
CHI8816,2022-05-03,1,Riots,Violent demonstration,Rioters (Chile),"FETRACALFOR: Federation of Forestry Workers, Drivers and Operators; Labor Group (Chile)",Police Forces of Chile (2022-),,Chile,Araucania,Cautin,Pillanlelbun,-38.6363,-72.4534,2,Subnational-National,0
CHI8817,2022-05-03,1,Riots,Violent demonstration,Rioters (Chile),,,,Chile,Metropolitana,Santiago,Santiago - Conchali,-33.3959,-70.671,1,National,0
CHI8766,2022-05-03,1,Protests,Peaceful protest,Protesters (Chile),"FETRACALFOR: Federation of Forestry Workers, Drivers and Operators; Labor Group (Chile)",,,Chile,Biobio,Concepcion,Concepcion,-36.827,-73.0498,2,Subnational,0
CHI8767,2022-05-03,1,Protests,Peaceful protest,Protesters (Chile),"FETRACALFOR: Federation of Forestry Workers, Drivers and Operators; Labor Group (Chile)",,,Chile,Biobio,Concepcion,Coronel,-37.0343,-73.1383,2,Subnational,0
CHI8771,2022-05-03,1,Protests,Peaceful protest,Protesters (Chile),Teachers (Chile),,,Chile,Los Lagos,Osorno,San Pablo,-40.4127,-73.0113,1,National,0
CHI8796,2022-05-03,1,Protests,Excessive force against protesters,Protesters (Chile),"FETRACALFOR: Federation of Forestry Workers, Drivers and Operators; Labor Group (Chile)",Rioters (Chile),Labor Group (Chile),Chile,Araucania,Malleco,Angol,-37.7952,-72.7164,1,Subnational,0
CHI8751,2022-05-02,1,Protests,Peaceful protest,Protesters (Chile),"FETRACALFOR: Federation of Forestry Workers, Drivers and Operators; Labor Group (Chile)",,,Chile,Biobio,Arauco,Horcones,-37.2302,-73.2323,1,Subnational-National,0
