event_id_cnty,event_date,event_type,sub_event_type,country,admin1,admin2,latitude,longitude,fatalities
CHI9805,2022-12-23,Violence against civilians,Attack,Chile,Araucania,Malleco,-38.0943,-72.3642,0
CHI8739,2022-04-29,Protests,Peaceful protest,Chile,Biobio,Arauco,-37.5555,-73.4174,0
CHI8753,2022-05-02,Protests,Peaceful protest,Chile,Biobio,Arauco,-37.5555,-73.4174,0
CHI8764,2022-05-03,Protests,Peaceful protest,Chile,Biobio,Arauco,-37.5555,-73.4174,0
CHI8776,2022-05-04,Protests,Peaceful protest,Chile,Biobio,Arauco,-37.5555,-73.4174,0
CHI8785,2022-05-05,Protests,Peaceful protest,Chile,Biobio,Arauco,-37.5555,-73.4174,0
CHI10003,2022-10-05,Protests,Peaceful protest,Chile,Los Rios,Valdivia,-39.8142,-73.2459,0
CHI10022,2022-11-28,Protests,Peaceful protest,Chile,Los Rios,Valdivia,-39.8142,-73.2459,0
CHI8216,2022-01-13,Protests,Peaceful protest,Chile,Los Rios,Valdivia,-39.8142,-73.2459,0
CHI8218,2022-01-14,Protests,Peaceful protest,Chile,Los Rios,Valdivia,-39.8142,-73.2459,0
CHI8297,2022-02-16,Protests,Peaceful protest,Chile,Los Rios,Valdivia,-39.8142,-73.2459,0
CHI8359,2022-03-08,Protests,Peaceful protest,Chile,Los Rios,Valdivia,-39.8142,-73.2459,0
CHI8360,2022-03-08,Protests,Peaceful protest,Chile,Los Rios,Valdivia,-39.8142,-73.2459,0
CHI8368,2022-03-09,Protests,Peaceful protest,Chile,Los Rios,Valdivia,-39.8142,-73.2459,0
CHI8394,2022-03-15,Protests,Peaceful protest,Chile,Los Rios,Valdivia,-39.8142,-73.2459,0
CHI8395,2022-03-16,Protests,Peaceful protest,Chile,Los Rios,Valdivia,-39.8142,-73.2459,0
CHI8434,2022-03-25,Protests,Peaceful protest,Chile,Los Rios,Valdivia,-39.8142,-73.2459,0
CHI8471,2022-01-26,Protests,Peaceful protest,Chile,Los Rios,Valdivia,-39.8142,-73.2459,0
CHI8479,2022-02-07,Protests,Peaceful protest,Chile,Los Rios,Valdivia,-39.8142,-73.2459,0
CHI8481,2022-02-08,Protests,Peaceful protest,Chile,Los Rios,Valdivia,-39.8142,-73.2459,0
CHI8576,2022-04-03,Protests,Peaceful protest,Chile,Los Rios,Valdivia,-39.8142,-73.2459,0
CHI8580,2022-04-04,Protests,Peaceful protest,Chile,Los Lagos,Llanquihue,-41.7915,-73.4603,0
CHI8581,2022-04-04,Protests,Peaceful protest,Chile,Los Rios,Valdivia,-39.8142,-73.2459,0
CHI8734,2022-04-28,Protests,Peaceful protest,Chile,Los Rios,Valdivia,-39.8142,-73.2459,0
CHI8742,2022-04-29,Protests,Peaceful protest,Chile,Los Rios,Valdivia,-39.8142,-73.2459,0
